Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,GNSS_fix_quality
1665805136.09239,0,13136,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805137.1059105,0,13137,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805138.0996468,0,13138,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805139.1181936,0,13139,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805140.0932672,0,13140,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805141.1170313,0,13141,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805142.093178,0,13142,0,GPS1_Frame,42.36349716666667,-71.06430333333333,11.899999618530273,330012.28195190825,4692200.082914967,19.0,T,4.0
1665805143.1114657,0,13143,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805144.095106,0,13144,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805145.113384,0,13145,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805146.0897367,0,13146,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805147.124683,0,13147,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805148.099618,0,13148,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805149.1125095,0,13149,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805150.101872,0,13150,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805151.1170278,0,13151,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805152.0922096,0,13152,0,GPS1_Frame,42.36349700000001,-71.06430333333333,11.899999618530273,330012.28150240786,4692200.064407857,19.0,T,4.0
1665805153.1071208,0,13153,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
1665805154.097904,0,13154,0,GPS1_Frame,42.36349716666667,-71.06430350000001,11.899999618530273,330012.2682269716,4692200.083248318,19.0,T,4.0
